Transaction date,Transaction type,Investment name,Shares,Amount
Sep-29-2023,REINVESTMENT REINVEST @ $1.000,FIDELITY GOVERNMENT CASH RESERVES,4.34,-$4.34
Sep-29-2023,DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,$4.34
Sep-26-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Sep-26-2023,JOURNALED CASH WITHDRAWAL,-,-,-$8832.72
Sep-22-2023,YOU SOLD,ORACLE CORP,-80.00,$8832.72
Sep-22-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Sep-22-2023,JOURNALED CASH WITHDRAWAL,-,-,-$7623.87
Sep-20-2023,YOU BOUGHT RSU####,ORACLE CORP,147.00,$0.00
Sep-20-2023,YOU SOLD,ORACLE CORP,-67.00,$7623.87
Apr-28-2023,DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,$1.12
Apr-05-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Apr-05-2023,JOURNALED CASH WITHDRAWAL,-,-,-$2341.65
Apr-03-2023,YOU SOLD,ORACLE CORP,-25.00,$2341.65
Apr-03-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Apr-03-2023,JOURNALED CASH WITHDRAWAL,-,-,-$2252.08
Mar-31-2023,REINVESTMENT REINVEST @ $1.000,FIDELITY GOVERNMENT CASH RESERVES,1.35,-$1.35
Mar-31-2023,DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,$1.35
Mar-27-2023,YOU SOLD,ORACLE CORP,-25.00,$2249.98
Mar-22-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Mar-22-2023,JOURNALED CASH WITHDRAWAL,-,-,-$2182.73
Mar-20-2023,YOU SOLD,ORACLE CORP,-25.00,$2182.73
Mar-08-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Mar-08-2023,JOURNALED CASH WITHDRAWAL,-,-,-$2247.48
Mar-06-2023,YOU SOLD,ORACLE CORP,-25.00,$2247.48
Feb-28-2023,DIVIDEND RECEIVED,FIDELITY GOVERNMENT CASH RESERVES,-,$0.75
Feb-10-2023,JOURNALED WIRE/CHECK FEE,-,-,$0.00
Feb-10-2023,JOURNALED CASH WITHDRAWAL,-,-,-$2171.83
Feb-08-2023,YOU SOLD,ORACLE CORP,-25.00,$2171.83
Feb-06-2023,YOU BOUGHT RSU####,ORACLE CORP,125.00,$0.00

"Unless noted otherwise, all values displayed in the amount column are USD"

Stock plan account history as of MAR/22/2026
